sample#;AD1;AD2;RSSIrx;RSSItx
540;248;0;93;93
541;248;0;92;93
542;248;0;92;92
543;248;0;92;92
544;248;0;92;92
545;248;0;92;92
546;248;0;93;92
547;248;0;94;92
548;248;0;94;92
549;248;0;94;92
550;248;0;94;92
551;248;0;93;92
552;248;0;93;92
553;248;0;93;92
554;248;0;93;92
555;248;0;93;92
556;248;0;93;93
557;248;0;93;93
558;248;0;94;92
559;248;0;94;92
560;248;0;95;92
561;248;0;95;93
562;248;0;95;93
563;248;0;94;93
564;248;0;95;94
565;248;0;95;94
566;248;0;95;94
567;248;0;95;94
568;248;0;95;94
569;248;0;94;94
570;248;0;94;94
571;248;0;94;94
572;248;0;95;94
573;248;0;95;94
574;248;0;94;94
575;248;0;94;94
576;248;0;95;94
577;248;0;95;94
578;248;0;95;94
579;248;0;95;94
580;248;0;94;94
581;248;0;94;93
582;248;0;94;93
583;248;0;94;93
584;248;0;94;92
585;248;0;94;92
586;248;0;93;92
587;248;0;93;92
588;248;0;93;92
589;248;0;93;92
590;248;0;93;92
591;248;0;93;93
592;248;0;93;93
593;248;0;94;92
594;248;0;94;93
595;248;0;95;92
596;248;0;95;93
597;248;0;95;93
598;248;0;94;93
599;248;0;94;93
600;248;0;94;93
601;248;0;95;94
602;248;0;95;94
603;248;0;95;94
604;248;0;95;94
605;248;0;95;94
606;248;0;95;94
607;248;0;95;94
608;248;0;95;94
609;248;0;96;94
610;248;0;95;94
611;248;0;95;94
612;248;0;94;94
613;248;0;95;94
614;248;0;94;94
615;248;0;95;94
616;248;0;94;94
617;248;0;95;94
618;248;0;95;94
619;248;0;95;94
620;248;0;95;94
621;248;0;95;94
622;248;0;94;94
623;248;0;94;94
624;248;0;94;94
625;248;0;95;94
626;248;0;94;94
627;248;0;94;94
628;248;0;94;94
629;248;0;95;94
630;248;0;95;94
631;248;0;95;94
632;248;0;95;94
633;248;0;95;94
634;248;0;94;94
635;248;0;95;94
636;248;0;94;94
637;248;0;95;94
638;248;0;94;94
639;248;0;94;93
640;248;0;94;93
641;248;0;94;93
642;248;0;94;93
643;248;0;94;93
644;248;0;94;92
645;248;0;94;92
646;248;0;94;93
647;248;0;94;93
648;248;0;94;93
649;248;0;94;93
650;248;0;94;93
651;248;0;94;93
652;248;0;94;93
653;248;0;94;93
654;248;0;94;93
655;248;0;94;93
656;248;0;94;93
657;248;0;94;93
658;248;0;93;93
659;248;0;94;93
660;248;0;94;93
661;248;0;95;93
662;248;0;95;93
663;248;0;95;94
664;248;0;95;94
665;248;0;95;94
666;248;0;96;94
667;248;0;96;94
668;248;0;96;94
669;248;0;96;94
670;248;0;94;94
671;248;0;94;94
672;248;0;95;94
673;248;0;95;94
674;248;0;95;94
675;248;0;95;94
676;248;0;95;94
677;248;0;95;94
678;248;0;96;94
679;248;0;95;93
680;248;0;95;93
681;248;0;95;94
682;248;0;95;94
683;248;0;95;94
684;248;0;96;94
685;248;0;96;94
686;248;0;95;94
687;248;0;95;94
688;248;0;94;94
689;248;0;94;93
690;248;0;94;93
691;248;0;94;93
692;248;0;94;92
693;248;0;94;92
694;248;0;94;92
695;248;0;94;93
696;248;0;95;93
697;248;0;95;93
698;248;0;95;94
699;248;0;95;94
700;248;0;95;94
701;248;0;95;94
702;248;0;94;94
703;248;0;94;93
704;248;0;95;93
705;248;0;95;93
706;248;0;92;93
707;248;0;93;93
708;248;0;96;94
709;248;0;96;94
710;248;0;95;94
711;248;0;93;93
712;248;0;93;93
713;248;0;93;93
714;248;0;95;93
715;248;0;95;92
716;248;0;95;92
717;248;0;95;92
718;248;0;95;93
719;248;0;95;94
720;248;0;96;94
721;248;0;96;94
722;248;0;97;95
723;248;0;97;95
724;248;0;97;96
725;248;0;97;95
726;248;0;97;95
727;248;0;97;95
728;248;0;97;95
729;248;0;97;95
730;248;0;96;95
731;248;0;96;95
732;248;0;96;95
733;248;0;96;95
734;248;0;95;95
735;248;0;95;94
736;248;0;95;94
737;248;0;95;94
738;248;0;95;94
739;248;0;95;93
740;248;0;95;93
741;248;0;95;93
742;248;0;95;93
743;248;0;95;94
744;248;0;96;94
745;248;0;96;94
746;248;0;96;94
747;248;0;96;94
748;248;0;96;95
749;248;0;96;94
750;248;0;96;94
751;248;0;96;94
752;248;0;96;94
753;248;0;96;94
754;248;0;96;94
755;248;0;96;95
756;248;0;96;95
757;248;0;96;95
758;248;0;96;95
759;248;0;96;95
760;248;0;96;95
761;248;0;96;95
762;248;0;97;95
763;248;0;96;94
764;248;0;97;94
765;248;0;97;95
766;248;0;96;95
767;248;0;96;95
768;248;0;97;95
769;248;0;97;95
770;248;0;97;95
771;248;0;97;95
772;248;0;97;96
773;248;0;97;95
774;248;0;97;95
775;248;0;97;95
776;248;0;97;95
777;248;0;97;95
778;248;0;96;95
779;248;0;96;95
780;248;0;97;95
781;248;0;97;96
782;248;0;97;96
783;248;0;97;96
784;248;0;97;96
785;248;0;97;95
786;248;0;97;95
787;248;0;97;95
788;248;0;97;95
789;248;0;97;95
790;248;0;97;95
791;248;0;97;96
792;248;0;97;95
793;248;0;97;96
794;248;0;97;96
795;248;0;97;96
796;248;0;97;96
797;248;0;97;95
798;248;0;97;95
799;248;0;97;95
800;248;0;97;95
801;248;0;97;95
802;248;0;96;95
803;248;0;96;95
804;248;0;96;95
805;248;0;95;95
806;248;0;95;94
807;248;0;95;95
808;248;0;94;94
809;248;0;94;94
810;248;0;94;94
811;248;0;95;94
812;248;0;95;94
813;248;0;96;93
814;248;0;95;93
815;248;0;95;93
816;248;0;93;93
817;248;0;93;92
818;248;0;92;92
819;248;0;91;92
820;248;0;90;91
821;248;0;90;91
822;248;0;91;90
823;248;0;92;89
824;248;0;91;89
825;248;0;91;89
826;248;0;89;89
827;248;0;88;88
828;248;0;85;87
829;248;0;81;86
830;248;0;81;85
831;248;0;82;85
832;248;0;82;85
833;248;0;84;84
834;248;0;84;83
835;248;0;88;84
836;248;0;89;85
837;248;0;91;86
838;248;0;90;86
839;248;0;91;87
840;248;0;91;88
841;248;0;92;89
842;248;0;92;90
843;248;0;92;90
844;248;0;91;90
845;248;0;91;90
846;248;0;90;90
847;248;0;91;89
848;248;0;90;89
849;248;0;90;88
850;248;0;88;88
851;248;0;88;88
852;248;0;86;87
853;248;0;88;87
854;248;0;86;87
855;248;0;87;87
856;248;0;86;87
857;248;0;88;87
858;248;0;87;87
859;248;0;89;87
860;248;0;89;87
861;248;0;90;87
862;248;0;89;88
863;248;0;91;88
864;248;0;90;89
865;248;0;92;89
866;248;0;92;90
867;248;0;93;91
868;248;0;93;91
869;248;0;94;92
870;248;0;94;92
871;248;0;94;92
872;248;0;93;92
873;248;0;93;92
874;248;0;91;92
875;248;0;90;91
876;248;0;90;91
877;248;0;91;91
878;248;0;92;91
879;248;0;92;90
880;248;0;89;89
881;248;0;87;88
882;248;0;85;87
883;248;0;84;86
884;248;0;82;84
